Name	mz	rtime	Cel_pure_1-B,1_01_21144	Cel_pure_1-B,1_01_21149	Cel_pure_1-B,1_01_21154	Cel_pure_1-B,1_01_21159	Cel_pure_1-B,1_01_21164
Cluster_04517	362.063254	17.11843274	1519.647339	1721.408691	1685.517212	1836.984131	1775.910889
Cluster_04518	362.0783164	1.575034382	980.4116821	756.8920898	854.9511719	980.4328613	976.413147
Cluster_04520	362.0992438	9.149204843	1281.016846	1304.417603	1681.004028	1619.847778	1691.748413
Cluster_04523	362.2077285	10.43307164	26579.19141	27248.42578	27047.90039	26767.03125	27484.28516
Cluster_04524	362.2172508	24.32614672	802.4290771	699.4196167	891.0941162	867.6775513	730.6335449
Cluster_04525	362.2172889	24.89721542	2611.45459	2806.098389	2826.007324	2643.822266	2907.503906
Cluster_04528	362.2687053	32.86911883	1211.062622	1480.71521	1223.51416	1438.473145	1283.95459
Cluster_04531	362.3345221	37.9294684	930.7067261	836.5743408	942.7615356	998.4744263	1031.976685
Cluster_04538	363.133452	17.1198064	1546.421387	1781.819214	1587.519653	1846.005127	1872.864746
Cluster_04539	363.1553403	1.667749611	7892.801758	8098.49707	8620.714844	8915.630859	9757.295898
Cluster_04540	363.1719169	33.0276936	1880.035767	2343.786133	1968.132202	2572.042236	2522.75
Cluster_04541	363.1862129	1.614460575	1039.265381	1161.955566	1041.814941	918.8261719	950.9152832
Cluster_04542	363.2010727	18.45130206	1088.121338	977.0415649	1139.275635	1074.149292	1176.029663
Cluster_04544	363.2202177	28.73107061	28723.94531	27632.67773	26164.73438	26562.04297	27772.89063
Cluster_04547	363.2871891	32.26942367	12722.94629	21138.63086	14700.05469	14871.15723	14507.28418
Cluster_04551	363.30454	30.31796523	608.4779053	838.9713135	966.9556885	1476.146851	2114.256592
Cluster_04552	363.3042987	43.54949207	861.5617676	873.1295776	897.9467773	874.9520874	874.9529419
Cluster_04553	363.3102483	32.11950368	1541.978638	1657.922974	1344.993408	1406.544312	1745.350952
Cluster_04555	364.0653787	1.491398524	43375.875	43073.27734	41263.37109	41894.86719	45073.54688
Cluster_04559	364.2245117	22.38247549	1471.192993	1919.228638	2118.770996	1884.612793	1997.637451
Cluster_04562	365.1055475	1.413405247	65943.29688	66188.60938	64259.51953	65216.67969	69853.15625
Cluster_04566	365.1884118	33.6883646	730.7060547	1288.340454	1197.290039	1721.405518	1570.517822
